Wall time,Step,Value
1540496199.86227,298,0.26474159955978394
1540496349.673286,496,0.08813675493001938
1540496413.789297,595,0.08083605766296387
1540496545.671595,793,0.10838976502418518
1540496676.967125,991,0.1316818743944168
1540496742.933232,1090,0.06932631134986877
1540496801.925353,1189,0.036496564745903015
1540496845.855069,1288,0.023062963038682938
1540496888.059306,1387,0.09336221218109131
1540496935.610594,1486,0.10846706479787827
1540496977.260757,1585,0.30041342973709106
1540497018.643845,1684,0.2798008322715759
1540497060.787844,1783,0.08619624376296997
1540497102.329583,1882,0.04951097071170807
1540497145.024977,1981,0.1134958267211914
1540497233.149386,2179,0.045155324041843414
1540497321.77514,2377,0.07602645456790924
1540497370.31574,2476,0.01382141001522541
1540497632.598781,2971,0.05257130414247513
1540497674.589828,3070,0.18884675204753876
1540497716.442991,3169,0.01218210719525814
1540497759.250311,3268,0.1006859615445137
1540497800.601522,3367,0.09445060044527054
1540497886.023204,3565,0.035792380571365356
1540498017.618126,3862,0.05727798119187355
1540498063.223754,3961,0.047382988035678864
1540498162.7933,4159,0.03066200762987137
1540498213.094729,4258,0.23240071535110474
1540498272.71701,4357,0.13666878640651703
1540498332.584235,4456,0.12520785629749298
1540498419.005986,4654,0.026660695672035217
1540498503.763414,4852,0.04407588392496109
1540498546.991516,4951,0.12918958067893982
1540498676.088728,5248,0.020365629345178604
1540498718.233748,5347,0.3583238124847412
1540498767.796358,5446,0.15042029321193695
1540498813.266895,5545,0.0703994631767273
1540498857.551994,5644,0.24329906702041626
1540499007.585912,5941,0.1178368553519249
1540499068.012583,6040,0.008978389203548431
1540499164.828983,6238,0.05198724567890167
1540499250.431265,6436,0.10514503717422485
1540499293.490084,6535,0.05607247352600098
1540499344.242188,6634,0.056319255381822586
1540499387.217151,6733,0.17004437744617462
1540499431.321464,6832,0.08569669723510742
1540499516.60914,7030,0.2180805802345276
1540499562.298777,7129,0.028805002570152283
1540499606.25015,7228,0.006204303354024887
1540499650.598374,7327,0.035152826458215714
1540499747.401979,7525,0.2042197585105896
1540499862.360114,7723,0.010874319821596146
1540499913.378778,7822,0.07102024555206299
1540500003.082989,8020,0.059135518968105316
1540500130.861583,8317,0.11714227497577667
1540500172.865881,8416,0.015648189932107925
1540500214.766691,8515,0.01355140283703804
1540500258.964241,8614,0.03304777294397354
1540500301.381344,8713,0.04259014129638672
